"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Image Src","Image Position","Status"
"signature-gold-bangle","Signature Gold Bangle","<p>Solid gold-plated bangle with a sleek, minimalist infinity loop design.</p>","Lucent N²","Jewelry","jewelry,artisanal-jewelry,trending-now","TRUE","Size","Standard","LN-JW-005","250","shopify","100","deny","manual","4290","5490","TRUE","TRUE","https://images.unsplash.com/photo-1611085583191-a3b1a30a0a3a?auto=format&fit=crop&q=80&w=800","1","active"
"dainty-heart-anklet","Dainty Heart Anklet","<p>Fine gold chain anklet featuring a small polished heart charm.</p>","Lucent N²","Jewelry","jewelry,artisanal-jewelry","TRUE","Size","Standard","LN-JW-006","60","shopify","100","deny","manual","1590","2190","TRUE","TRUE","https://images.unsplash.com/photo-1602173574767-37ac01994b2a?auto=format&fit=crop&q=80&w=800","1","active"
"classic-tennis-bracelet","Classic Tennis Bracelet","<p>Timeless row of brilliant zircons set in a flexible silver-plated chain.</p>","Lucent N²","Jewelry","jewelry,artisanal-jewelry","TRUE","Size","Standard","LN-JW-007","120","shopify","100","deny","manual","3890","4990","TRUE","TRUE","https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?auto=format&fit=crop&q=80&w=800","1","active"
"vintage-filigree-brooch","Vintage Filigree Brooch","<p>Intricate gold filigree brooch with a central pearl. A touch of heritage.</p>","Lucent N²","Jewelry","jewelry,artisanal-jewelry","TRUE","Size","Standard","LN-JW-008","150","shopify","100","deny","manual","3290","4290","TRUE","TRUE","https://images.unsplash.com/photo-1573408301185-9146fe634ad0?auto=format&fit=crop&q=80&w=800","1","active"
"velvet-eve-abaya","Velvet Eve Abaya","<p>A masterclass in modest luxury. Soft velvet drape with silk embroidery.</p>","Lucent N²","Garments","garments,abaya,trending-now","TRUE","Size","M","LN-GR-001","600","shopify","80","deny","manual","8990","10990","TRUE","TRUE","https://images.unsplash.com/photo-1567401893414-76b7b1e5a7a5?auto=format&fit=crop&q=80&w=800","1","active"
"noor-satin-kurta","Noor Satin Kurta","<p>Luminous satin finish in a contemporary cut. Effortless sophistication.</p>","Lucent N²","Garments","garments,abaya","TRUE","Size","M","LN-GR-002","480","shopify","90","deny","manual","6590","8090","TRUE","TRUE","https://images.unsplash.com/photo-1496747611176-843222e1e57c?auto=format&fit=crop&q=80&w=800","1","active"
"rose-drape-maxi","Rose Drape Maxi","<p>Flowing silhouette in a romantic desert rose hue. Perfect for weekends.</p>","Lucent N²","Garments","garments,abaya","TRUE","Size","M","LN-GR-003","520","shopify","90","deny","manual","7190","8790","TRUE","TRUE","https://images.unsplash.com/photo-1515372039744-b8f02a3ae446?auto=format&fit=crop&q=80&w=800","1","active"
"silk-organza-dress","Silk Organza Dress","<p>Ethereal organza dress with a delicate floral print and soft lining.</p>","Lucent N²","Garments","garments,abaya,trending-now","TRUE","Size","M","LN-GR-004","450","shopify","100","deny","manual","9890","12490","TRUE","TRUE","https://images.unsplash.com/photo-1539109132314-d4d8b0577435?auto=format&fit=crop&q=80&w=800","1","active"
"embroidered-chiffon-abaya","Embroidered Chiffon Abaya","<p>Lightweight chiffon abaya with intricate hand-embroidered sleeve detail.</p>","Lucent N²","Garments","garments,abaya","TRUE","Size","M","LN-GR-005","500","shopify","100","deny","manual","7890","9490","TRUE","TRUE","https://images.unsplash.com/photo-1585487000160-6ebcfceb0d03?auto=format&fit=crop&q=80&w=800","1","active"
"premium-lawn-suit","Premium Lawn Suit","<p>High-quality breathable lawn suit with a printed silk dupatta.</p>","Lucent N²","Garments","garments,abaya","TRUE","Size","M","LN-GR-006","550","shopify","100","deny","manual","5990","7490","TRUE","TRUE","https://images.unsplash.com/photo-1566174053879-31528523f8ae?auto=format&fit=crop&q=80&w=800","1","active"
"jacquard-festive-kurta","Jacquard Festive Kurta","<p>Rich jacquard weave in a traditional silhouette with metallic accents.</p>","Lucent N²","Garments","garments,abaya","TRUE","Size","M","LN-GR-007","520","shopify","100","deny","manual","6890","8490","TRUE","TRUE","https://images.unsplash.com/photo-1595777457583-95e059d581b8?auto=format&fit=crop&q=80&w=800","1","active"
"luxe-velvet-kaftan","Luxe Velvet Kaftan","<p>Relaxed-fit velvet kaftan with gold piping. The ultimate loungewear luxury.</p>","Lucent N²","Garments","garments,abaya","TRUE","Size","Standard","LN-GR-008","650","shopify","100","deny","manual","8490","10490","TRUE","TRUE","https://images.unsplash.com/photo-1502716119720-b23a93e5fe1b?auto=format&fit=crop&q=80&w=800","1","active"
"silk-vanity-kit","Silk Vanity Kit","<p>Mulberry silk accessories curated for your premium nighttime ritual.</p>","Lucent N²","Lifestyle","lifestyle,lifestyle-essentials,trending-now","TRUE","Size","Standard","LN-LS-001","450","shopify","100","deny","manual","5190","6490","TRUE","TRUE","https://images.unsplash.com/photo-1591047139829-d91aecb6caea?auto=format&fit=crop&q=80&w=800","1","active"
"blush-beauty-pouch","Blush Beauty Pouch","<p>Elegant storage for your daily essentials with a gold-toned zipper.</p>","Lucent N²","Lifestyle","lifestyle,lifestyle-essentials","TRUE","Size","Standard","LN-LS-002","250","shopify","100","deny","manual","2490","3290","TRUE","TRUE","https://images.unsplash.com/photo-1612160608502-ff7af7737d6e?auto=format&fit=crop&q=80&w=800","1","active"
"midnight-selfcare-box","Midnight Selfcare Box","<p>A curated experience of calm featuring our signature candle and eye mask.</p>","Lucent N²","Lifestyle","lifestyle,lifestyle-essentials,trending-now","TRUE","Size","Standard","LN-LS-003","600","shopify","100","deny","manual","6790","8190","TRUE","TRUE","https://images.unsplash.com/photo-1584622650111-993a426fbf0a?auto=format&fit=crop&q=80&w=800","1","active"
"scented-candle-gold","Scented Candle - Gold","<p>A blend of white tea and thyme in a signature gold-tinted glass jar.</p>","Lucent N²","Lifestyle","lifestyle,lifestyle-essentials","TRUE","Size","Standard","LN-LS-004","500","shopify","100","deny","manual","3290","4290","TRUE","TRUE","https://images.unsplash.com/photo-1602874801007-bd458bb1b8b6?auto=format&fit=crop&q=80&w=800","1","active"
"marble-jewelry-tray","Marble Jewelry Tray","<p>Hand-carved white marble tray designed to display your finest pieces.</p>","Lucent N²","Lifestyle","lifestyle,lifestyle-essentials","TRUE","Size","Standard","LN-LS-005","800","shopify","50","deny","manual","4590","5890","TRUE","TRUE","https://images.unsplash.com/photo-1616489953149-804c86107386?auto=format&fit=crop&q=80&w=800","1","active"
"linen-eye-mask","Linen Eye Mask","<p>Breathable pure linen eye mask for a restful and restorative sleep.</p>","Lucent N²","Lifestyle","lifestyle,lifestyle-essentials","TRUE","Size","Standard","LN-LS-006","100","shopify","200","deny","manual","1590","2190","TRUE","TRUE","https://images.unsplash.com/photo-1507089947368-19c1ac97751f?auto=format&fit=crop&q=80&w=800","1","active"
"bamboo-bath-caddy","Bamboo Bath Caddy","<p>Expandable luxury bamboo caddy with slots for a book and wine glass.</p>","Lucent N²","Lifestyle","lifestyle,lifestyle-essentials","TRUE","Size","Standard","LN-LS-007","1200","shopify","30","deny","manual","5890","7490","TRUE","TRUE","https://images.unsplash.com/photo-1513519245088-0e12902e5a38?auto=format&fit=crop&q=80&w=800","1","active"
"rose-quartz-roller","Rose Quartz Roller","<p>Authentic rose quartz facial massage tool for a cooling beauty effect.</p>","Lucent N²","Lifestyle","lifestyle,lifestyle-essentials","TRUE","Size","Standard","LN-LS-008","300","shopify","150","deny","manual","2990","3990","TRUE","TRUE","https://images.unsplash.com/photo-1554433607-66b5efe9d304?auto=format&fit=crop&q=80&w=800","1","active"
